      Step     Time          Energy          fmax
BFGS:    0 19:18:25     -237.853761        2.116601
BFGS:    1 19:18:27     -237.946593        0.921154
BFGS:    2 19:18:29     -238.000058        0.859953
BFGS:    3 19:18:29     -238.024764        0.366513
BFGS:    4 19:18:30     -238.041482        0.355016
BFGS:    5 19:18:31     -238.055931        0.385787
BFGS:    6 19:18:32     -238.067414        0.329554
BFGS:    7 19:18:33     -238.072447        0.200273
BFGS:    8 19:18:35     -238.075340        0.165095
BFGS:    9 19:18:36     -238.077388        0.191874
BFGS:   10 19:18:36     -238.079370        0.149608
BFGS:   11 19:18:37     -238.081131        0.118578
BFGS:   12 19:18:38     -238.082245        0.079227
BFGS:   13 19:18:39     -238.082783        0.044210
BFGS:   14 19:18:39     -238.083185        0.059778
BFGS:   15 19:18:40     -238.083745        0.095180
BFGS:   16 19:18:41     -238.084346        0.094551
BFGS:   17 19:18:41     -238.084771        0.048285
BFGS:   18 19:18:42     -238.085004        0.026020
BFGS:   19 19:18:43     -238.085194        0.041155
BFGS:   20 19:18:43     -238.085415        0.063061
BFGS:   21 19:18:44     -238.085646        0.056524
BFGS:   22 19:18:44     -238.085832        0.048148
BFGS:   23 19:18:45     -238.085966        0.036685
BFGS:   24 19:18:45     -238.086079        0.031897
BFGS:   25 19:18:46     -238.086192        0.035049
BFGS:   26 19:18:46     -238.086299        0.025721
BFGS:   27 19:18:47     -238.086392        0.023111
BFGS:   28 19:18:47     -238.086472        0.018975
BFGS:   29 19:18:48     -238.086537        0.021269
BFGS:   30 19:18:49     -238.086591        0.022144
BFGS:   31 19:18:49     -238.086651        0.027734
BFGS:   32 19:18:49     -238.086724        0.028738
BFGS:   33 19:18:50     -238.086799        0.029563
BFGS:   34 19:18:50     -238.086854        0.021130
BFGS:   35 19:18:51     -238.086894        0.013268
BFGS:   36 19:18:51     -238.086937        0.016397
BFGS:   37 19:18:51     -238.086995        0.024101
BFGS:   38 19:18:52     -238.087051        0.023971
BFGS:   39 19:18:52     -238.087084        0.013349
BFGS:   40 19:18:53     -238.087103        0.012684
BFGS:   41 19:18:53     -238.087122        0.013845
BFGS:   42 19:18:54     -238.087152        0.022948
BFGS:   43 19:18:54     -238.087182        0.021154
BFGS:   44 19:18:55     -238.087198        0.009690
