      Step     Time          Energy          fmax
BFGS:    0 19:18:12     -237.767567        1.266359
BFGS:    1 19:18:15     -237.836881        1.078123
BFGS:    2 19:18:16     -237.928745        2.013388
BFGS:    3 19:18:17     -237.973861        0.416259
BFGS:    4 19:18:18     -237.992066        0.272170
BFGS:    5 19:18:19     -238.023777        0.277083
BFGS:    6 19:18:20     -238.028961        0.238983
BFGS:    7 19:18:21     -238.043393        0.214322
BFGS:    8 19:18:22     -238.046262        0.168441
BFGS:    9 19:18:23     -238.050976        0.155803
BFGS:   10 19:18:24     -238.053626        0.111149
BFGS:   11 19:18:25     -238.055356        0.108805
BFGS:   12 19:18:26     -238.056285        0.136158
BFGS:   13 19:18:28     -238.057470        0.152874
BFGS:   14 19:18:29     -238.058870        0.131279
BFGS:   15 19:18:30     -238.060096        0.100408
BFGS:   16 19:18:31     -238.061002        0.082135
BFGS:   17 19:18:32     -238.061988        0.104503
BFGS:   18 19:18:33     -238.063411        0.131572
BFGS:   19 19:18:34     -238.065250        0.123737
BFGS:   20 19:18:35     -238.067020        0.095622
BFGS:   21 19:18:36     -238.068457        0.080611
BFGS:   22 19:18:37     -238.069951        0.112170
BFGS:   23 19:18:38     -238.072131        0.169615
BFGS:   24 19:18:38     -238.074743        0.177438
BFGS:   25 19:18:39     -238.076549        0.114086
BFGS:   26 19:18:40     -238.077437        0.074189
BFGS:   27 19:18:41     -238.078121        0.088847
BFGS:   28 19:18:42     -238.078971        0.091748
BFGS:   29 19:18:42     -238.080006        0.091655
BFGS:   30 19:18:43     -238.080803        0.070284
BFGS:   31 19:18:44     -238.081286        0.046606
BFGS:   32 19:18:44     -238.081709        0.062363
BFGS:   33 19:18:45     -238.082298        0.077823
BFGS:   34 19:18:45     -238.082928        0.084491
BFGS:   35 19:18:46     -238.083352        0.062941
BFGS:   36 19:18:47     -238.083603        0.042748
BFGS:   37 19:18:47     -238.083870        0.042859
BFGS:   38 19:18:48     -238.084292        0.064098
BFGS:   39 19:18:48     -238.084825        0.067376
BFGS:   40 19:18:49     -238.085272        0.044062
BFGS:   41 19:18:49     -238.085561        0.037765
BFGS:   42 19:18:50     -238.085832        0.045773
BFGS:   43 19:18:50     -238.086249        0.065172
BFGS:   44 19:18:51     -238.086800        0.061262
BFGS:   45 19:18:51     -238.087288        0.038323
BFGS:   46 19:18:52     -238.087607        0.043333
BFGS:   47 19:18:52     -238.087860        0.048539
BFGS:   48 19:18:53     -238.088145        0.057292
BFGS:   49 19:18:53     -238.088421        0.040807
BFGS:   50 19:18:54     -238.088589        0.022865
BFGS:   51 19:18:54     -238.088679        0.020901
BFGS:   52 19:18:55     -238.088770        0.030786
BFGS:   53 19:18:55     -238.088909        0.040865
BFGS:   54 19:18:56     -238.089059        0.034409
BFGS:   55 19:18:56     -238.089152        0.016391
BFGS:   56 19:18:57     -238.089197        0.014896
BFGS:   57 19:18:57     -238.089242        0.018819
BFGS:   58 19:18:57     -238.089334        0.027108
BFGS:   59 19:18:58     -238.089500        0.037140
BFGS:   60 19:18:58     -238.089724        0.035769
BFGS:   61 19:18:59     -238.089914        0.024090
BFGS:   62 19:18:59     -238.090035        0.021890
BFGS:   63 19:19:00     -238.090141        0.028956
BFGS:   64 19:19:00     -238.090290        0.039267
BFGS:   65 19:19:00     -238.090467        0.034831
BFGS:   66 19:19:01     -238.090596        0.018574
BFGS:   67 19:19:01     -238.090661        0.018100
BFGS:   68 19:19:02     -238.090710        0.016095
BFGS:   69 19:19:02     -238.090772        0.019864
BFGS:   70 19:19:03     -238.090830        0.014862
BFGS:   71 19:19:03     -238.090859        0.007896
      Step     Time          Energy          fmax
BFGS:    0 12:49:26  -378334.702470        0.035352
BFGS:    1 12:49:27  -378334.702574        0.027018
BFGS:    2 12:49:27  -378334.702953        0.063922
BFGS:    3 12:49:27  -378334.703091        0.065358
BFGS:    4 12:49:28  -378334.703320        0.030834
BFGS:    5 12:49:28  -378334.703417        0.017106
BFGS:    6 12:49:28  -378334.703518        0.032754
BFGS:    7 12:49:28  -378334.703626        0.047015
BFGS:    8 12:49:28  -378334.703751        0.040260
BFGS:    9 12:49:29  -378334.703845        0.018911
BFGS:   10 12:49:29  -378334.703920        0.018120
BFGS:   11 12:49:29  -378334.704004        0.036319
BFGS:   12 12:49:29  -378334.704119        0.049398
BFGS:   13 12:49:30  -378334.704238        0.041603
BFGS:   14 12:49:30  -378334.704330        0.026026
BFGS:   15 12:49:30  -378334.704400        0.017361
BFGS:   16 12:49:30  -378334.704480        0.029919
BFGS:   17 12:49:31  -378334.704588        0.040083
BFGS:   18 12:49:31  -378334.704717        0.033215
BFGS:   19 12:49:31  -378334.704861        0.025088
BFGS:   20 12:49:31  -378334.705030        0.033263
BFGS:   21 12:49:31  -378334.705253        0.050303
BFGS:   22 12:49:32  -378334.705530        0.062812
BFGS:   23 12:49:32  -378334.705835        0.050466
BFGS:   24 12:49:32  -378334.706154        0.054362
BFGS:   25 12:49:32  -378334.706482        0.057021
BFGS:   26 12:49:33  -378334.706776        0.044706
BFGS:   27 12:49:33  -378334.706973        0.034387
BFGS:   28 12:49:33  -378334.707080        0.019985
BFGS:   29 12:49:33  -378334.707164        0.028618
BFGS:   30 12:49:34  -378334.707263        0.029647
BFGS:   31 12:49:34  -378334.707355        0.028854
BFGS:   32 12:49:34  -378334.707407        0.012818
BFGS:   33 12:49:34  -378334.707430        0.009557
